epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,46.4153,2.53067,5.37205,3.3395,0.06765,0.00487,0.19149,0.00324,0.00144,1.78079,3.75595,2.9572,0.02688,0.00195833,0.000652778,0.00195833,0.000652778,0.00195833,0.000652778,0.00195833,0.000652778
2,70.0899,1.75051,3.13931,3.04417,0.02484,0.82626,0.65773,0.74898,0.51876,1.12952,1.55769,2.75655,0.00693,0.00391915,0.00130638,0.00391915,0.00130638,0.00391915,0.00130638,0.00391915,0.00130638
3,95.7093,1.38213,1.59072,2.71531,0.01925,0.9125,0.88298,0.95201,0.74243,0.97835,0.7951,2.21368,0.00612,0.00584036,0.00194679,0.00584036,0.00194679,0.00584036,0.00194679,0.00584036,0.00194679
4,121.717,1.16033,0.95843,2.25387,0.01437,0.97818,0.95404,0.98291,0.77877,0.86361,0.6086,1.75019,0.00481,0.0058218,0.0019406,0.0058218,0.0019406,0.0058218,0.0019406,0.0058218,0.0019406
5,147.469,0.99077,0.70858,1.90854,0.01052,0.99722,0.95745,0.9905,0.80894,0.80383,0.54336,1.4716,0.00473,0.0057624,0.0019208,0.0057624,0.0019208,0.0057624,0.0019208,0.0057624,0.0019208
6,172.448,0.94388,0.63323,1.69489,0.00985,0.99464,0.96809,0.98921,0.79968,0.83679,0.53245,1.33963,0.00585,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901
7,196.546,0.91917,0.59669,1.63354,0.0121,1,0.97759,0.98555,0.81564,0.76142,0.48405,1.24989,0.00377,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812
8,222.301,0.87174,0.55762,1.49925,0.01073,0.98925,0.97854,0.98627,0.84918,0.70123,0.44234,1.18179,0.00359,0.0055842,0.0018614,0.0055842,0.0018614,0.0055842,0.0018614,0.0055842,0.0018614
9,247.06,0.81728,0.53315,1.45003,0.01016,0.98935,0.988,0.99409,0.84241,0.70803,0.42897,1.16881,0.00318,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416
10,270.57,0.78188,0.51348,1.42888,0.00896,0.97912,0.99778,0.99448,0.85163,0.65826,0.41023,1.1225,0.00296,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218
11,296.282,0.7849,0.49775,1.39526,0.00957,0.98935,0.98791,0.99458,0.85204,0.68451,0.40738,1.08798,0.00317,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802
12,322.373,0.74148,0.47605,1.37025,0.00716,0.98935,0.98829,0.99458,0.85582,0.67343,0.40024,1.08074,0.00289,0.0053466,0.0017822,0.0053466,0.0017822,0.0053466,0.0017822,0.0053466,0.0017822
13,346.985,0.74643,0.48203,1.33883,0.00769,0.9998,0.97872,0.99355,0.86044,0.64775,0.40995,1.07702,0.00284,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624
14,372.597,0.71172,0.46757,1.34303,0.00714,0.99968,0.97872,0.9941,0.87071,0.62534,0.40486,1.0588,0.00261,0.0052278,0.0017426,0.0052278,0.0017426,0.0052278,0.0017426,0.0052278,0.0017426
15,397.671,0.73364,0.4695,1.34055,0.00698,0.9993,0.97872,0.99401,0.87522,0.6254,0.38959,1.03347,0.00296,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228
16,423.621,0.68589,0.44548,1.29999,0.0066,0.99936,0.97872,0.99234,0.86827,0.64594,0.39522,1.04066,0.0029,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703
17,446.492,0.69673,0.44362,1.31949,0.00819,0.99846,0.97872,0.99411,0.87717,0.60888,0.37627,1.03132,0.0027,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832
18,472.107,0.69374,0.44618,1.31296,0.00688,1,0.9785,0.9936,0.87391,0.60129,0.37654,1.0368,0.00268,0.0049902,0.0016634,0.0049902,0.0016634,0.0049902,0.0016634,0.0049902,0.0016634
19,496.374,0.70489,0.44277,1.29934,0.0073,0.99948,0.97872,0.99356,0.8733,0.60693,0.37954,1.03518,0.00269,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436
20,518.85,0.68283,0.42814,1.29623,0.00641,0.99949,0.97872,0.9939,0.8697,0.61293,0.38916,1.02184,0.00241,0.0048714,0.0016238,0.0048714,0.0016238,0.0048714,0.0016238,0.0048714,0.0016238
21,543.055,0.65717,0.42365,1.26469,0.00666,1,0.98838,0.99383,0.8723,0.60777,0.3861,1.01191,0.00267,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
22,566.854,0.6619,0.42691,1.29571,0.00667,0.99912,0.97872,0.99372,0.87355,0.62649,0.37569,1.01015,0.00273,0.0047526,0.0015842,0.0047526,0.0015842,0.0047526,0.0015842,0.0047526,0.0015842
23,589.68,0.67164,0.43141,1.30509,0.00747,0.99922,0.97872,0.99355,0.8774,0.59233,0.36714,1.00977,0.00257,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644
